ensembl_id,gene_symbol
ENSCJAG00000077381,U6
ENSCJAG00000074303,
ENSCJAG00000071296,U4
ENSCJAG00000078393,U6
ENSCJAG00000085335,
ENSCJAG00000086728,
ENSCJAG00000073680,
ENSCJAG00000078548,
ENSCJAG00000003187,SLITRK6
ENSCJAG00000078495,
ENSCJAG00000041473,
ENSCJAG00000064752,
ENSCJAG00000080916,
ENSCJAG00000043566,U6
ENSCJAG00000029903,cja-mir-31
ENSCJAG00000080342,
ENSCJAG00000072156,
ENSCJAG00000006773,PCID2
ENSCJAG00000003189,SLITRK5
ENSCJAG00000075133,
ENSCJAG00000053742,
ENSCJAG00000076923,
ENSCJAG00000060785,
ENSCJAG00000084070,
ENSCJAG00000070270,U6
ENSCJAG00000074564,
ENSCJAG00000016415,PCDH20
ENSCJAG00000062836,
ENSCJAG00000062210,GAS1
ENSCJAG00000081470,U6
ENSCJAG00000083300,
ENSCJAG00000069756,
ENSCJAG00000003196,
ENSCJAG00000080485,
ENSCJAG00000086702,
ENSCJAG00000034697,U6
ENSCJAG00000084670,
ENSCJAG00000078951,U6
ENSCJAG00000008347,ATP7B
ENSCJAG00000070435,
ENSCJAG00000023458,MIR17
ENSCJAG00000008021,MTAP
ENSCJAG00000024826,MIR18A
ENSCJAG00000030780,MIR19A
ENSCJAG00000006831,CUL4A
ENSCJAG00000026140,cja-mir-20a
ENSCJAG00000030224,cja-mir-19b-1
ENSCJAG00000029449,cja-mir-92a-2
ENSCJAG00000005536,ZNF484
ENSCJAG00000001131,CARNMT1
ENSCJAG00000051705,CDKN2A
ENSCJAG00000062364,
ENSCJAG00000069800,
ENSCJAG00000003211,GPC5
ENSCJAG00000041063,Metazoa_SRP
ENSCJAG00000006900,LAMP1
ENSCJAG00000072232,Metazoa_SRP
ENSCJAG00000076988,
ENSCJAG00000010996,RFX3
ENSCJAG00000008048,CDKN2B
ENSCJAG00000070384,
ENSCJAG00000082005,
ENSCJAG00000086611,
ENSCJAG00000058382,
ENSCJAG00000074731,Y_RNA
ENSCJAG00000073424,
ENSCJAG00000022751,
ENSCJAG00000083826,
ENSCJAG00000008059,DMRTA1
ENSCJAG00000011484,TMEFF1
ENSCJAG00000006915,GRTP1
ENSCJAG00000079951,
ENSCJAG00000003215,GPC6
ENSCJAG00000085896,
ENSCJAG00000008074,BAG1
ENSCJAG00000065871,
ENSCJAG00000065150,
ENSCJAG00000075654,ADPRHL1
ENSCJAG00000076685,PRXL2C
ENSCJAG00000076873,
ENSCJAG00000003225,DCT
ENSCJAG00000061240,
ENSCJAG00000011496,CAVIN4
ENSCJAG00000072485,
ENSCJAG00000001156,TRPM6
ENSCJAG00000070039,
ENSCJAG00000083742,
ENSCJAG00000085183,
ENSCJAG00000067069,
ENSCJAG00000008104,CHMP5
ENSCJAG00000078281,
ENSCJAG00000081354,
ENSCJAG00000084468,
ENSCJAG00000061833,
ENSCJAG00000077311,
ENSCJAG00000071364,
ENSCJAG00000079116,
ENSCJAG00000084286,
ENSCJAG00000007103,GGTA1
ENSCJAG00000086114,
ENSCJAG00000053255,
ENSCJAG00000038309,DCUN1D2
ENSCJAG00000041446,Metazoa_SRP
ENSCJAG00000087383,
ENSCJAG00000019853,WDR41
ENSCJAG00000016264,LPPR1
ENSCJAG00000003252,TGDS
ENSCJAG00000011083,GLIS3
ENSCJAG00000077025,
ENSCJAG00000030396,U1
ENSCJAG00000083299,U1
ENSCJAG00000008064,ELAVL2
ENSCJAG00000073768,
ENSCJAG00000024764,
ENSCJAG00000075363,
ENSCJAG00000060715,
ENSCJAG00000080385,
ENSCJAG00000070493,
ENSCJAG00000074078,
ENSCJAG00000006931,TMCO3
ENSCJAG00000067237,
ENSCJAG00000043138,GPR180
ENSCJAG00000008142,NFX1
ENSCJAG00000060971,
ENSCJAG00000016292,BAAT
ENSCJAG00000011113,SLC1A1
ENSCJAG00000065295,
ENSCJAG00000003853,TDRD3
ENSCJAG00000054215,
ENSCJAG00000012598,CDC14B
ENSCJAG00000065674,
ENSCJAG00000020318,C1H9orf78
ENSCJAG00000054074,TMEM272
ENSCJAG00000074965,
ENSCJAG00000010197,COL5A1
ENSCJAG00000082330,U4
ENSCJAG00000081488,Metazoa_SRP
ENSCJAG00000044399,PIM3
ENSCJAG00000057712,
ENSCJAG00000025135,U6
ENSCJAG00000086344,U6
ENSCJAG00000076571,Y_RNA
ENSCJAG00000078122,
ENSCJAG00000083876,MRPL50
ENSCJAG00000080921,IZUMO3
ENSCJAG00000044106,Metazoa_SRP
ENSCJAG00000071390,
ENSCJAG00000042036,PRKRIP1
ENSCJAG00000070983,
ENSCJAG00000034003,U6
ENSCJAG00000082968,Metazoa_SRP
ENSCJAG00000059435,Metazoa_SRP
ENSCJAG00000044997,UBE2L3
ENSCJAG00000011136,SPATA6L
ENSCJAG00000087278,
ENSCJAG00000046783,U6
ENSCJAG00000085242,Metazoa_SRP
ENSCJAG00000080518,U4
ENSCJAG00000043537,Metazoa_SRP
ENSCJAG00000020348,USP20
ENSCJAG00000046080,
ENSCJAG00000047661,Metazoa_SRP
ENSCJAG00000083113,
ENSCJAG00000071716,Metazoa_SRP
ENSCJAG00000044859,U4
ENSCJAG00000016305,ZNF189
ENSCJAG00000082130,5S_rRNA
ENSCJAG00000079165,
ENSCJAG00000055379,
ENSCJAG00000076254,Metazoa_SRP
ENSCJAG00000074397,
ENSCJAG00000087122,
ENSCJAG00000025426,RNase_MRP
ENSCJAG00000079036,
ENSCJAG00000083682,
ENSCJAG00000034973,
ENSCJAG00000081697,Metazoa_SRP
ENSCJAG00000082229,
ENSCJAG00000046743,FCN2
ENSCJAG00000079832,U6
ENSCJAG00000030139,
ENSCJAG00000072595,Metazoa_SRP
ENSCJAG00000077763,Metazoa_SRP
ENSCJAG00000080782,
ENSCJAG00000077249,
ENSCJAG00000054220,
ENSCJAG00000085324,
ENSCJAG00000063898,PPAPDC2
ENSCJAG00000016164,SH2B2
ENSCJAG00000074268,
ENSCJAG00000083818,Metazoa_SRP
ENSCJAG00000078039,
ENSCJAG00000070748,
ENSCJAG00000043194,TUSC1
ENSCJAG00000001216,RORB
ENSCJAG00000078952,
ENSCJAG00000041601,U6
ENSCJAG00000034796,U6
ENSCJAG00000086889,
ENSCJAG00000040263,RPS13
ENSCJAG00000076221,
ENSCJAG00000036901,Metazoa_SRP
ENSCJAG00000019926,CDKL2
ENSCJAG00000010200,ELL2
ENSCJAG00000072450,
ENSCJAG00000085985,
ENSCJAG00000085199,
ENSCJAG00000078518,
ENSCJAG00000010186,FCN2
ENSCJAG00000080658,
ENSCJAG00000084283,Metazoa_SRP
ENSCJAG00000084757,Y_RNA
ENSCJAG00000015809,YDJC
ENSCJAG00000071615,
ENSCJAG00000085298,
ENSCJAG00000003174,ELF2
ENSCJAG00000075968,U7
ENSCJAG00000010839,ANKH
ENSCJAG00000038960,
ENSCJAG00000039670,
ENSCJAG00000056845,
ENSCJAG00000008718,HPS4
ENSCJAG00000073183,Metazoa_SRP
ENSCJAG00000073518,
ENSCJAG00000011062,LPCAT1
ENSCJAG00000008175,AQP7
ENSCJAG00000081120,
ENSCJAG00000041714,ISOC1
ENSCJAG00000049478,WDFY2
ENSCJAG00000084301,
ENSCJAG00000054477,
ENSCJAG00000059870,
ENSCJAG00000081668,
ENSCJAG00000011188,AK3
ENSCJAG00000077811,TFDP1
ENSCJAG00000069905,
ENSCJAG00000014591,TBX1
ENSCJAG00000015805,CCDC116
ENSCJAG00000010341,
ENSCJAG00000019939,ODAPH
ENSCJAG00000012589,HABP4
ENSCJAG00000073067,
ENSCJAG00000018871,C5orf22
ENSCJAG00000069940,
ENSCJAG00000081023,
ENSCJAG00000020360,FNBP1
ENSCJAG00000052430,
ENSCJAG00000007987,CAAP1
ENSCJAG00000080056,Metazoa_SRP
ENSCJAG00000073683,
ENSCJAG00000070098,5S_rRNA
ENSCJAG00000086864,Metazoa_SRP
ENSCJAG00000072142,
ENSCJAG00000076441,
ENSCJAG00000082972,
ENSCJAG00000082589,
ENSCJAG00000084232,
ENSCJAG00000016312,ALDOB
ENSCJAG00000072748,
ENSCJAG00000043771,
ENSCJAG00000078680,
ENSCJAG00000015792,SDF2L1
ENSCJAG00000082510,U4
ENSCJAG00000039245,Metazoa_SRP
ENSCJAG00000081149,
ENSCJAG00000076542,
ENSCJAG00000055173,
ENSCJAG00000010884,OTULIN
ENSCJAG00000077628,
ENSCJAG00000076381,Metazoa_SRP
ENSCJAG00000079020,
ENSCJAG00000081627,
ENSCJAG00000043822,HCN1
ENSCJAG00000035001,U6
ENSCJAG00000076820,5S_rRNA
ENSCJAG00000069804,U6
ENSCJAG00000010252,RHOBTB3
ENSCJAG00000024781,
ENSCJAG00000006057,TLR3
ENSCJAG00000067688,
ENSCJAG00000019300,SLC27A6
ENSCJAG00000047593,Metazoa_SRP
ENSCJAG00000071896,
ENSCJAG00000008709,SRRD
ENSCJAG00000083665,
ENSCJAG00000043131,Metazoa_SRP
ENSCJAG00000015559,IPO11
ENSCJAG00000081400,
ENSCJAG00000020153,DAB2IP
ENSCJAG00000019876,PDE8B
ENSCJAG00000073968,Metazoa_SRP
ENSCJAG00000081305,
ENSCJAG00000029256,cja-mir-130b
ENSCJAG00000011155,CDC37L1
ENSCJAG00000074392,
ENSCJAG00000082302,
ENSCJAG00000003399,MOV10L1
ENSCJAG00000048002,AQP3
ENSCJAG00000074176,
ENSCJAG00000044039,Metazoa_SRP
ENSCJAG00000070528,U7
ENSCJAG00000029419,U6
ENSCJAG00000075591,
ENSCJAG00000019942,THAP6
ENSCJAG00000034341,U6
ENSCJAG00000007921,PLAA
ENSCJAG00000079850,U6
ENSCJAG00000040778,
ENSCJAG00000081514,Metazoa_SRP
ENSCJAG00000008628,TFIP11
ENSCJAG00000071501,Metazoa_SRP
ENSCJAG00000083247,
ENSCJAG00000053898,
ENSCJAG00000038194,
