ensembl_id,gene_symbol
ENSCJAG00000077381,U6
ENSCJAG00000071296,U4
ENSCJAG00000078393,U6
ENSCJAG00000003187,SLITRK6
ENSCJAG00000043566,U6
ENSCJAG00000029903,cja-mir-31
ENSCJAG00000006773,PCID2
ENSCJAG00000003189,SLITRK5
ENSCJAG00000070270,U6
ENSCJAG00000016415,PCDH20
ENSCJAG00000062210,GAS1
ENSCJAG00000081470,U6
ENSCJAG00000034697,U6
ENSCJAG00000078951,U6
ENSCJAG00000008347,ATP7B
ENSCJAG00000023458,MIR17
ENSCJAG00000008021,MTAP
ENSCJAG00000024826,MIR18A
ENSCJAG00000030780,MIR19A
ENSCJAG00000006831,CUL4A
ENSCJAG00000026140,cja-mir-20a
ENSCJAG00000030224,cja-mir-19b-1
ENSCJAG00000029449,cja-mir-92a-2
ENSCJAG00000005536,ZNF484
ENSCJAG00000001131,CARNMT1
ENSCJAG00000051705,CDKN2A
ENSCJAG00000003211,GPC5
ENSCJAG00000041063,Metazoa_SRP
ENSCJAG00000006900,LAMP1
ENSCJAG00000072232,Metazoa_SRP
ENSCJAG00000010996,RFX3
ENSCJAG00000008048,CDKN2B
ENSCJAG00000074731,Y_RNA
ENSCJAG00000008059,DMRTA1
ENSCJAG00000011484,TMEFF1
ENSCJAG00000006915,GRTP1
ENSCJAG00000003215,GPC6
ENSCJAG00000008074,BAG1
ENSCJAG00000075654,ADPRHL1
ENSCJAG00000076685,PRXL2C
ENSCJAG00000003225,DCT
ENSCJAG00000011496,CAVIN4
ENSCJAG00000001156,TRPM6
ENSCJAG00000008104,CHMP5
ENSCJAG00000007103,GGTA1
ENSCJAG00000038309,DCUN1D2
ENSCJAG00000041446,Metazoa_SRP
ENSCJAG00000019853,WDR41
ENSCJAG00000016264,LPPR1
ENSCJAG00000003252,TGDS
ENSCJAG00000011083,GLIS3
ENSCJAG00000030396,U1
ENSCJAG00000083299,U1
ENSCJAG00000008064,ELAVL2
ENSCJAG00000006931,TMCO3
ENSCJAG00000043138,GPR180
ENSCJAG00000008142,NFX1
ENSCJAG00000016292,BAAT
ENSCJAG00000011113,SLC1A1
ENSCJAG00000003853,TDRD3
ENSCJAG00000012598,CDC14B
