source_id,human_id,type
ENSMFAG00000044637,ENSG00000185220,ortholog_one2one
ENSMFAG00000018105,ENSG00000201701,ortholog_one2one
ENSMFAG00000032500,ENSG00000116205,ortholog_one2one
ENSMFAG00000000628,ENSG00000254726,ortholog_one2one
ENSMFAG00000030252,ENSG00000202408,ortholog_one2one
ENSMFAG00000000115,ENSG00000132698,ortholog_one2one
ENSMFAG00000033997,ENSG00000135862,ortholog_one2one
ENSMFAG00000039587,ENSG00000184378,ortholog_one2one
ENSMFAG00000060721,ENSG00000206700,ortholog_one2one
ENSMFAG00000040959,ENSG00000121634,ortholog_one2one
ENSMFAG00000011984,ENSG00000200495,ortholog_one2one
ENSMFAG00000017252,ENSG00000207962,ortholog_one2one
ENSMFAG00000041380,ENSG00000171872,ortholog_one2one
ENSMFAG00000016426,ENSG00000201398,ortholog_one2one
ENSMFAG00000054875,ENSG00000143079,ortholog_one2one
ENSMFAG00000002199,ENSG00000162614,ortholog_one2one
ENSMFAG00000038045,ENSG00000144827,ortholog_one2one
ENSMFAG00000022133,ENSG00000073711,ortholog_one2one
ENSMFAG00000012995,ENSG00000199135,ortholog_one2one
ENSMFAG00000039056,ENSG00000171163,ortholog_one2one
ENSMFAG00000009013,ENSG00000239560,ortholog_one2one
ENSMFAG00000036601,ENSG00000179051,ortholog_one2one
ENSMFAG00000017312,ENSG00000212257,ortholog_one2one
ENSMFAG00000034575,ENSG00000085274,ortholog_one2one
ENSMFAG00000018627,ENSG00000265107,ortholog_one2one
ENSMFAG00000001270,ENSG00000116874,ortholog_one2one
ENSMFAG00000035168,ENSG00000162892,ortholog_one2one
ENSMFAG00000013728,ENSG00000277762,ortholog_one2one
ENSMFAG00000043364,ENSG00000198912,ortholog_one2one
ENSMFAG00000011650,ENSG00000198974,ortholog_one2one
ENSMFAG00000000647,ENSG00000154822,ortholog_one2one
ENSMFAG00000046150,ENSG00000160741,ortholog_one2one
ENSMFAG00000035463,ENSG00000117834,ortholog_one2one
ENSMFAG00000042415,ENSG00000117475,ortholog_one2one
ENSMFAG00000040797,ENSG00000198574,ortholog_one2one
ENSMFAG00000033134,ENSG00000116209,ortholog_one2one
ENSMFAG00000001539,ENSG00000169598,ortholog_one2one
ENSMFAG00000018166,ENSG00000116586,ortholog_one2one
ENSMFAG00000061568,ENSG00000238761,ortholog_one2one
ENSMFAG00000001280,ENSG00000197763,ortholog_one2one
ENSMFAG00000044269,ENSG00000092607,ortholog_one2one
ENSMFAG00000046094,ENSG00000144645,ortholog_one2one
ENSMFAG00000002737,ENSG00000175137,ortholog_one2one
ENSMFAG00000041889,ENSG00000213085,ortholog_one2one
ENSMFAG00000031011,ENSG00000114790,ortholog_one2one
ENSMFAG00000037492,ENSG00000198837,ortholog_one2one
ENSMFAG00000002406,ENSG00000092345,ortholog_one2one
ENSMFAG00000042773,ENSG00000239887,ortholog_one2one
ENSMFAG00000033129,ENSG00000162894,ortholog_one2one
ENSMFAG00000002560,ENSG00000276747,ortholog_one2one
ENSMFAG00000030982,ENSG00000174579,ortholog_one2one
ENSMFAG00000041326,ENSG00000117477,ortholog_one2one
ENSMFAG00000032527,ENSG00000144554,ortholog_one2one
ENSMFAG00000021295,ENSG00000206659,ortholog_one2one
ENSMFAG00000003493,ENSG00000162434,ortholog_one2one
ENSMFAG00000000974,ENSG00000058085,ortholog_one2one
ENSMFAG00000002615,ENSG00000171757,ortholog_one2one
ENSMFAG00000043409,ENSG00000155761,ortholog_one2one
ENSMFAG00000008832,ENSG00000201170,ortholog_one2one
ENSMFAG00000042345,ENSG00000143614,ortholog_one2one
ENSMFAG00000042062,ENSG00000203985,ortholog_one2one
