marmoset_gene,macaque_gene
ENSCJAG00000078393,ENSMFAG00000040440
ENSCJAG00000003187,ENSMFAG00000040915
ENSCJAG00000029903,ENSMFAG00000017080
ENSCJAG00000006773,ENSMFAG00000003946
ENSCJAG00000003189,ENSMFAG00000040496
ENSCJAG00000076923,ENSMFAG00000005478
ENSCJAG00000076923,ENSMFAG00000062795
ENSCJAG00000060785,ENSMFAG00000052275
ENSCJAG00000060785,ENSMFAG00000055972
ENSCJAG00000060785,ENSMFAG00000048262
ENSCJAG00000060785,ENSMFAG00000058781
ENSCJAG00000060785,ENSMFAG00000049881
ENSCJAG00000060785,ENSMFAG00000064185
ENSCJAG00000060785,ENSMFAG00000055175
ENSCJAG00000060785,ENSMFAG00000054018
ENSCJAG00000060785,ENSMFAG00000061610
ENSCJAG00000070270,ENSMFAG00000058258
ENSCJAG00000016415,ENSMFAG00000001794
ENSCJAG00000086702,ENSMFAG00000005601
ENSCJAG00000034697,ENSMFAG00000006166
ENSCJAG00000008347,ENSMFAG00000001355
ENSCJAG00000023458,ENSMFAG00000008551
ENSCJAG00000024826,ENSMFAG00000018397
ENSCJAG00000030780,ENSMFAG00000007696
ENSCJAG00000006831,ENSMFAG00000043855
ENSCJAG00000026140,ENSMFAG00000013455
ENSCJAG00000030224,ENSMFAG00000016140
ENSCJAG00000005536,ENSMFAG00000042882
ENSCJAG00000001131,ENSMFAG00000055475
ENSCJAG00000003211,ENSMFAG00000035829
ENSCJAG00000006900,ENSMFAG00000031309
ENSCJAG00000076988,ENSMFAG00000062041
ENSCJAG00000076988,ENSMFAG00000051616
ENSCJAG00000076988,ENSMFAG00000054818
ENSCJAG00000076988,ENSMFAG00000059645
ENSCJAG00000076988,ENSMFAG00000051927
ENSCJAG00000076988,ENSMFAG00000053612
ENSCJAG00000010996,ENSMFAG00000000237
ENSCJAG00000058382,ENSMFAG00000052275
ENSCJAG00000058382,ENSMFAG00000055972
ENSCJAG00000058382,ENSMFAG00000048262
ENSCJAG00000058382,ENSMFAG00000058781
ENSCJAG00000058382,ENSMFAG00000049881
ENSCJAG00000058382,ENSMFAG00000064185
ENSCJAG00000058382,ENSMFAG00000055175
ENSCJAG00000058382,ENSMFAG00000054018
ENSCJAG00000058382,ENSMFAG00000061610
ENSCJAG00000074731,ENSMFAG00000056025
ENSCJAG00000022751,ENSMFAG00000040746
ENSCJAG00000011484,ENSMFAG00000007545
ENSCJAG00000006915,ENSMFAG00000039147
ENSCJAG00000003215,ENSMFAG00000044647
ENSCJAG00000008074,ENSMFAG00000044782
ENSCJAG00000065150,ENSMFAG00000039029
ENSCJAG00000075654,ENSMFAG00000034058
ENSCJAG00000076685,ENSMFAG00000053521
ENSCJAG00000003225,ENSMFAG00000044784
ENSCJAG00000011496,ENSMFAG00000057234
ENSCJAG00000001156,ENSMFAG00000042901
ENSCJAG00000008104,ENSMFAG00000045456
ENSCJAG00000084286,ENSMFAG00000033204
ENSCJAG00000053255,ENSMFAG00000048994
ENSCJAG00000038309,ENSMFAG00000016446
ENSCJAG00000019853,ENSMFAG00000002206
ENSCJAG00000016264,ENSMFAG00000036301
ENSCJAG00000003252,ENSMFAG00000003252
