mouse_gene,marmoset_gene
ENSMUSG00000094722,ENSCJAG00000013747
ENSMUSG00000094741,ENSCJAG00000013747
ENSMUSG00000095666,ENSCJAG00000013747
ENSMUSG00000094303,ENSCJAG00000013747
ENSMUSG00000095041,ENSCJAG00000011154
ENSMUSG00000095250,ENSCJAG00000013254
ENSMUSG00000094836,ENSCJAG00000013747
ENSMUSG00000079808,ENSCJAG00000013254
ENSMUSG00000074720,ENSCJAG00000013747
ENSMUSG00000096236,ENSCJAG00000013747
ENSMUSG00000095092,ENSCJAG00000013254
ENSMUSG00000094383,ENSCJAG00000013747
ENSMUSG00000094874,ENSCJAG00000013254
ENSMUSG00000096680,ENSCJAG00000013747
ENSMUSG00000094337,ENSCJAG00000013747
ENSMUSG00000096756,ENSCJAG00000013747
ENSMUSG00000095672,ENSCJAG00000013254
ENSMUSG00000095505,ENSCJAG00000013747
ENSMUSG00000094474,ENSCJAG00000013747
ENSMUSG00000094799,ENSCJAG00000013254
ENSMUSG00000095570,ENSCJAG00000013747
ENSMUSG00000094791,ENSCJAG00000013747
ENSMUSG00000096728,ENSCJAG00000013747
ENSMUSG00000096808,ENSCJAG00000082849
ENSMUSG00000096550,ENSCJAG00000013747
ENSMUSG00000094172,ENSCJAG00000013747
ENSMUSG00000094887,ENSCJAG00000013747
ENSMUSG00000091585,ENSCJAG00000013747
ENSMUSG00000095763,ENSCJAG00000013747
ENSMUSG00000095523,ENSCJAG00000013747
ENSMUSG00000095475,ENSCJAG00000013747
ENSMUSG00000094855,ENSCJAG00000013747
ENSMUSG00000095634,ENSCJAG00000040385
ENSMUSG00000100032,ENSCJAG00000001658
ENSMUSG00000100032,ENSCJAG00000047041
ENSMUSG00000100535,ENSCJAG00000001658
ENSMUSG00000100535,ENSCJAG00000047041
ENSMUSG00000099782,ENSCJAG00000001658
ENSMUSG00000099782,ENSCJAG00000047041
ENSMUSG00000101157,ENSCJAG00000001658
ENSMUSG00000101157,ENSCJAG00000047041
ENSMUSG00000094575,ENSCJAG00000040385
ENSMUSG00000101146,ENSCJAG00000001658
ENSMUSG00000101146,ENSCJAG00000047041
ENSMUSG00000100902,ENSCJAG00000001658
ENSMUSG00000100902,ENSCJAG00000047041
ENSMUSG00000100892,ENSCJAG00000001658
ENSMUSG00000100892,ENSCJAG00000047041
ENSMUSG00000096898,ENSCJAG00000040385
ENSMUSG00000094739,ENSCJAG00000040385
ENSMUSG00000101471,ENSCJAG00000001658
ENSMUSG00000101471,ENSCJAG00000047041
ENSMUSG00000095650,ENSCJAG00000040385
ENSMUSG00000100240,ENSCJAG00000001658
ENSMUSG00000100240,ENSCJAG00000047041
ENSMUSG00000102122,ENSCJAG00000001658
ENSMUSG00000102122,ENSCJAG00000047041
ENSMUSG00000099856,ENSCJAG00000001658
ENSMUSG00000099856,ENSCJAG00000047041
ENSMUSG00000094729,ENSCJAG00000040385
ENSMUSG00000100045,ENSCJAG00000001658
ENSMUSG00000100045,ENSCJAG00000047041
ENSMUSG00000093950,ENSCJAG00000040385
ENSMUSG00000100856,ENSCJAG00000001658
ENSMUSG00000100856,ENSCJAG00000047041
ENSMUSG00000101766,ENSCJAG00000001658
ENSMUSG00000101766,ENSCJAG00000047041
ENSMUSG00000095785,ENSCJAG00000040385
ENSMUSG00000093993,ENSCJAG00000001658
ENSMUSG00000093993,ENSCJAG00000047041
ENSMUSG00000096666,ENSCJAG00000040385
ENSMUSG00000095302,ENSCJAG00000040385
ENSMUSG00000096016,ENSCJAG00000001658
ENSMUSG00000096016,ENSCJAG00000047041
ENSMUSG00000103919,ENSCJAG00000001658
ENSMUSG00000103919,ENSCJAG00000047041
ENSMUSG00000093868,ENSCJAG00000040385
ENSMUSG00000101667,ENSCJAG00000083285
ENSMUSG00000101667,ENSCJAG00000075041
ENSMUSG00000093918,ENSCJAG00000083285
ENSMUSG00000093918,ENSCJAG00000075041
ENSMUSG00000094511,ENSCJAG00000083285
ENSMUSG00000094511,ENSCJAG00000075041
ENSMUSG00000093987,ENSCJAG00000083285
ENSMUSG00000093987,ENSCJAG00000075041
ENSMUSG00000095948,ENSCJAG00000083285
ENSMUSG00000095948,ENSCJAG00000075041
ENSMUSG00000096520,ENSCJAG00000083285
ENSMUSG00000096520,ENSCJAG00000075041
ENSMUSG00000093927,ENSCJAG00000040385
ENSMUSG00000095148,ENSCJAG00000040385
ENSMUSG00000096686,ENSCJAG00000040385
ENSMUSG00000100939,ENSCJAG00000001658
ENSMUSG00000100939,ENSCJAG00000047041
ENSMUSG00000094081,ENSCJAG00000040385
ENSMUSG00000100645,ENSCJAG00000001658
ENSMUSG00000100645,ENSCJAG00000047041
ENSMUSG00000099861,ENSCJAG00000040385
ENSMUSG00000095324,ENSCJAG00000040385
ENSMUSG00000101928,ENSCJAG00000001658
ENSMUSG00000101928,ENSCJAG00000047041
ENSMUSG00000101053,ENSCJAG00000040385
ENSMUSG00000095032,ENSCJAG00000040385
ENSMUSG00000095242,ENSCJAG00000040385
ENSMUSG00000094838,ENSCJAG00000040385
ENSMUSG00000095172,ENSCJAG00000040385
ENSMUSG00000094294,ENSCJAG00000040385
ENSMUSG00000093848,ENSCJAG00000040385
ENSMUSG00000053211,ENSCJAG00000040902
ENSMUSG00000053211,ENSCJAG00000046873
ENSMUSG00000053211,ENSCJAG00000042684
ENSMUSG00000053211,ENSCJAG00000041042
ENSMUSG00000053211,ENSCJAG00000000036
ENSMUSG00000053211,ENSCJAG00000000381
ENSMUSG00000053211,ENSCJAG00000038560
ENSMUSG00000053211,ENSCJAG00000045864
ENSMUSG00000053211,ENSCJAG00000058328
ENSMUSG00000053211,ENSCJAG00000000028
ENSMUSG00000053211,ENSCJAG00000078341
ENSMUSG00000053211,ENSCJAG00000042550
ENSMUSG00000053211,ENSCJAG00000053037
ENSMUSG00000053211,ENSCJAG00000001947
