human_gene,macaque_gene
ENSG00000198888,ENSMFAG00000055554
ENSG00000198888,ENSMFAG00000050827
ENSG00000198763,ENSMFAG00000050431
ENSG00000198804,ENSMFAG00000060073
ENSG00000198712,ENSMFAG00000055785
ENSG00000228253,ENSMFAG00000048226
ENSG00000198899,ENSMFAG00000053176
ENSG00000198938,ENSMFAG00000060632
ENSG00000198840,ENSMFAG00000065538
ENSG00000212907,ENSMFAG00000049515
ENSG00000198886,ENSMFAG00000057489
ENSG00000198786,ENSMFAG00000053671
ENSG00000198695,ENSMFAG00000049782
ENSG00000198695,ENSMFAG00000046426
ENSG00000198695,ENSMFAG00000051125
ENSG00000198727,ENSMFAG00000062540
ENSG00000278457,ENSMFAG00000054113
ENSG00000278457,ENSMFAG00000005329
ENSG00000278625,ENSMFAG00000051610
ENSG00000278625,ENSMFAG00000055172
ENSG00000278625,ENSMFAG00000065822
ENSG00000278625,ENSMFAG00000056102
ENSG00000278294,ENSMFAG00000008274
ENSG00000274917,ENSMFAG00000059452
ENSG00000274917,ENSMFAG00000056818
ENSG00000274917,ENSMFAG00000063934
ENSG00000274917,ENSMFAG00000064774
ENSG00000274917,ENSMFAG00000057897
ENSG00000274917,ENSMFAG00000047490
ENSG00000274917,ENSMFAG00000062789
ENSG00000274917,ENSMFAG00000060438
ENSG00000274917,ENSMFAG00000060275
ENSG00000274917,ENSMFAG00000055149
ENSG00000274917,ENSMFAG00000061980
ENSG00000274917,ENSMFAG00000060588
ENSG00000274917,ENSMFAG00000057347
ENSG00000274917,ENSMFAG00000057231
ENSG00000274917,ENSMFAG00000065301
ENSG00000274917,ENSMFAG00000049788
ENSG00000273730,ENSMFAG00000059452
ENSG00000273730,ENSMFAG00000056818
ENSG00000273730,ENSMFAG00000063934
ENSG00000273730,ENSMFAG00000064774
ENSG00000273730,ENSMFAG00000057897
ENSG00000273730,ENSMFAG00000047490
ENSG00000273730,ENSMFAG00000062789
ENSG00000273730,ENSMFAG00000060438
ENSG00000273730,ENSMFAG00000060275
ENSG00000273730,ENSMFAG00000055149
ENSG00000273730,ENSMFAG00000061980
ENSG00000273730,ENSMFAG00000060588
ENSG00000273730,ENSMFAG00000057347
ENSG00000273730,ENSMFAG00000057231
ENSG00000273730,ENSMFAG00000065301
ENSG00000273730,ENSMFAG00000049788
ENSG00000277196,ENSMFAG00000036801
ENSG00000277196,ENSMFAG00000064359
ENSG00000277630,ENSMFAG00000061937
ENSG00000277630,ENSMFAG00000033345
ENSG00000277630,ENSMFAG00000063545
ENSG00000277630,ENSMFAG00000065529
ENSG00000277630,ENSMFAG00000001981
ENSG00000277630,ENSMFAG00000054294
ENSG00000278817,ENSMFAG00000042526
ENSG00000278817,ENSMFAG00000053543
ENSG00000276017,ENSMFAG00000003707
ENSG00000276017,ENSMFAG00000003497
ENSG00000278793,ENSMFAG00000049928
ENSG00000278793,ENSMFAG00000048130
ENSG00000278793,ENSMFAG00000057415
ENSG00000278793,ENSMFAG00000047809
ENSG00000278793,ENSMFAG00000059704
ENSG00000277428,ENSMFAG00000063736
ENSG00000277428,ENSMFAG00000050939
ENSG00000275987,ENSMFAG00000056017
ENSG00000275987,ENSMFAG00000054604
ENSG00000277856,ENSMFAG00000050529
ENSG00000277856,ENSMFAG00000064262
ENSG00000277856,ENSMFAG00000027149
ENSG00000274847,ENSMFAG00000045548
ENSG00000276711,ENSMFAG00000051996
ENSG00000276345,ENSMFAG00000034529
ENSG00000276700,ENSMFAG00000059452
ENSG00000276700,ENSMFAG00000056818
ENSG00000276700,ENSMFAG00000063934
ENSG00000276700,ENSMFAG00000064774
ENSG00000276700,ENSMFAG00000057897
ENSG00000276700,ENSMFAG00000047490
ENSG00000276700,ENSMFAG00000062789
ENSG00000276700,ENSMFAG00000060438
ENSG00000276700,ENSMFAG00000060275
ENSG00000276700,ENSMFAG00000055149
ENSG00000276700,ENSMFAG00000061980
ENSG00000276700,ENSMFAG00000060588
ENSG00000276700,ENSMFAG00000057347
ENSG00000276700,ENSMFAG00000057231
ENSG00000276700,ENSMFAG00000065301
ENSG00000276700,ENSMFAG00000049788
ENSG00000275757,ENSMFAG00000059452
ENSG00000275757,ENSMFAG00000056818
ENSG00000275757,ENSMFAG00000063934
ENSG00000275757,ENSMFAG00000064774
ENSG00000275757,ENSMFAG00000057897
ENSG00000275757,ENSMFAG00000047490
ENSG00000275757,ENSMFAG00000062789
ENSG00000275757,ENSMFAG00000060438
ENSG00000275757,ENSMFAG00000060275
ENSG00000275757,ENSMFAG00000055149
ENSG00000275757,ENSMFAG00000061980
ENSG00000275757,ENSMFAG00000060588
ENSG00000275757,ENSMFAG00000057347
ENSG00000275757,ENSMFAG00000057231
ENSG00000275757,ENSMFAG00000065301
ENSG00000275757,ENSMFAG00000049788
ENSG00000273554,ENSMFAG00000032070
ENSG00000277374,ENSMFAG00000018807
ENSG00000276932,ENSMFAG00000063736
ENSG00000276932,ENSMFAG00000050939
ENSG00000278633,ENSMFAG00000003707
ENSG00000278633,ENSMFAG00000003497
ENSG00000274202,ENSMFAG00000051996
ENSG00000252900,ENSMFAG00000038929
ENSG00000243980,ENSMFAG00000007510
ENSG00000169953,ENSMFAG00000052765
ENSG00000169953,ENSMFAG00000065739
ENSG00000169953,ENSMFAG00000048008
ENSG00000169953,ENSMFAG00000059356
ENSG00000252513,ENSMFAG00000054853
ENSG00000252166,ENSMFAG00000054853
ENSG00000172468,ENSMFAG00000052765
ENSG00000172468,ENSMFAG00000065739
ENSG00000172468,ENSMFAG00000048008
ENSG00000172468,ENSMFAG00000059356
ENSG00000182415,ENSMFAG00000048100
ENSG00000251996,ENSMFAG00000006617
ENSG00000251996,ENSMFAG00000065504
ENSG00000252155,ENSMFAG00000005111
ENSG00000252155,ENSMFAG00000053178
ENSG00000252155,ENSMFAG00000016308
ENSG00000205916,ENSMFAG00000061240
ENSG00000205916,ENSMFAG00000054407
ENSG00000129873,ENSMFAG00000048100
ENSG00000129824,ENSMFAG00000055171
ENSG00000154620,ENSMFAG00000048017
ENSG00000187191,ENSMFAG00000061240
ENSG00000187191,ENSMFAG00000054407
ENSG00000188120,ENSMFAG00000061240
ENSG00000188120,ENSMFAG00000054407
ENSG00000251925,ENSMFAG00000025294
ENSG00000092377,ENSMFAG00000050736
ENSG00000205944,ENSMFAG00000061240
ENSG00000205944,ENSMFAG00000054407
ENSG00000252625,ENSMFAG00000054853
ENSG00000251796,ENSMFAG00000025294
ENSG00000252948,ENSMFAG00000055333
ENSG00000280969,ENSMFAG00000048442
ENSG00000252681,ENSMFAG00000054853
ENSG00000252468,ENSMFAG00000009722
ENSG00000099715,ENSMFAG00000030468
ENSG00000251917,ENSMFAG00000055196
ENSG00000172352,ENSMFAG00000048100
