mouse_gene,macaque_gene
ENSMUSG00000064341,ENSMFAG00000055554
ENSMUSG00000064341,ENSMFAG00000050827
ENSMUSG00000064345,ENSMFAG00000050431
ENSMUSG00000064351,ENSMFAG00000060073
ENSMUSG00000064354,ENSMFAG00000055785
ENSMUSG00000064356,ENSMFAG00000048226
ENSMUSG00000064357,ENSMFAG00000053176
ENSMUSG00000064358,ENSMFAG00000060632
ENSMUSG00000064360,ENSMFAG00000065538
ENSMUSG00000065947,ENSMFAG00000049515
ENSMUSG00000064363,ENSMFAG00000057489
ENSMUSG00000064367,ENSMFAG00000053671
ENSMUSG00000064368,ENSMFAG00000049782
ENSMUSG00000064368,ENSMFAG00000046426
ENSMUSG00000064368,ENSMFAG00000051125
ENSMUSG00000064370,ENSMFAG00000062540
ENSMUSG00000094722,ENSMFAG00000037490
ENSMUSG00000094722,ENSMFAG00000037280
ENSMUSG00000094722,ENSMFAG00000003419
ENSMUSG00000094722,ENSMFAG00000039073
ENSMUSG00000094722,ENSMFAG00000031578
ENSMUSG00000094722,ENSMFAG00000064937
ENSMUSG00000094722,ENSMFAG00000042798
ENSMUSG00000094722,ENSMFAG00000032967
ENSMUSG00000094722,ENSMFAG00000051805
ENSMUSG00000094741,ENSMFAG00000037490
ENSMUSG00000094741,ENSMFAG00000037280
ENSMUSG00000094741,ENSMFAG00000003419
ENSMUSG00000094741,ENSMFAG00000039073
ENSMUSG00000094741,ENSMFAG00000031578
ENSMUSG00000094741,ENSMFAG00000064937
ENSMUSG00000094741,ENSMFAG00000042798
ENSMUSG00000094741,ENSMFAG00000032967
ENSMUSG00000094741,ENSMFAG00000051805
ENSMUSG00000095666,ENSMFAG00000037490
ENSMUSG00000095666,ENSMFAG00000037280
ENSMUSG00000095666,ENSMFAG00000003419
ENSMUSG00000095666,ENSMFAG00000039073
ENSMUSG00000095666,ENSMFAG00000031578
ENSMUSG00000095666,ENSMFAG00000064937
ENSMUSG00000095666,ENSMFAG00000042798
ENSMUSG00000095666,ENSMFAG00000032967
ENSMUSG00000095666,ENSMFAG00000051805
ENSMUSG00000094303,ENSMFAG00000037490
ENSMUSG00000094303,ENSMFAG00000037280
ENSMUSG00000094303,ENSMFAG00000003419
ENSMUSG00000094303,ENSMFAG00000039073
ENSMUSG00000094303,ENSMFAG00000031578
ENSMUSG00000094303,ENSMFAG00000064937
ENSMUSG00000094303,ENSMFAG00000042798
ENSMUSG00000094303,ENSMFAG00000032967
ENSMUSG00000094303,ENSMFAG00000051805
ENSMUSG00000094915,ENSMFAG00000030689
ENSMUSG00000095250,ENSMFAG00000034455
ENSMUSG00000094836,ENSMFAG00000037490
ENSMUSG00000094836,ENSMFAG00000037280
ENSMUSG00000094836,ENSMFAG00000003419
ENSMUSG00000094836,ENSMFAG00000039073
ENSMUSG00000094836,ENSMFAG00000031578
ENSMUSG00000094836,ENSMFAG00000064937
ENSMUSG00000094836,ENSMFAG00000042798
ENSMUSG00000094836,ENSMFAG00000032967
ENSMUSG00000094836,ENSMFAG00000051805
ENSMUSG00000079808,ENSMFAG00000034455
ENSMUSG00000074720,ENSMFAG00000037490
ENSMUSG00000074720,ENSMFAG00000037280
ENSMUSG00000074720,ENSMFAG00000003419
ENSMUSG00000074720,ENSMFAG00000039073
ENSMUSG00000074720,ENSMFAG00000031578
ENSMUSG00000074720,ENSMFAG00000064937
ENSMUSG00000074720,ENSMFAG00000042798
ENSMUSG00000074720,ENSMFAG00000032967
ENSMUSG00000074720,ENSMFAG00000051805
ENSMUSG00000096236,ENSMFAG00000037490
ENSMUSG00000096236,ENSMFAG00000037280
ENSMUSG00000096236,ENSMFAG00000003419
ENSMUSG00000096236,ENSMFAG00000039073
ENSMUSG00000096236,ENSMFAG00000031578
ENSMUSG00000096236,ENSMFAG00000064937
ENSMUSG00000096236,ENSMFAG00000042798
ENSMUSG00000096236,ENSMFAG00000032967
ENSMUSG00000096236,ENSMFAG00000051805
ENSMUSG00000095092,ENSMFAG00000034455
ENSMUSG00000094383,ENSMFAG00000037490
ENSMUSG00000094383,ENSMFAG00000037280
ENSMUSG00000094383,ENSMFAG00000003419
ENSMUSG00000094383,ENSMFAG00000039073
ENSMUSG00000094383,ENSMFAG00000031578
ENSMUSG00000094383,ENSMFAG00000064937
ENSMUSG00000094383,ENSMFAG00000042798
ENSMUSG00000094383,ENSMFAG00000032967
ENSMUSG00000094383,ENSMFAG00000051805
ENSMUSG00000094874,ENSMFAG00000034455
ENSMUSG00000096680,ENSMFAG00000037490
ENSMUSG00000096680,ENSMFAG00000037280
ENSMUSG00000096680,ENSMFAG00000003419
ENSMUSG00000096680,ENSMFAG00000039073
ENSMUSG00000096680,ENSMFAG00000031578
ENSMUSG00000096680,ENSMFAG00000064937
ENSMUSG00000096680,ENSMFAG00000042798
ENSMUSG00000096680,ENSMFAG00000032967
ENSMUSG00000096680,ENSMFAG00000051805
ENSMUSG00000094337,ENSMFAG00000037490
ENSMUSG00000094337,ENSMFAG00000037280
ENSMUSG00000094337,ENSMFAG00000003419
ENSMUSG00000094337,ENSMFAG00000039073
ENSMUSG00000094337,ENSMFAG00000031578
ENSMUSG00000094337,ENSMFAG00000064937
ENSMUSG00000094337,ENSMFAG00000042798
ENSMUSG00000094337,ENSMFAG00000032967
ENSMUSG00000094337,ENSMFAG00000051805
ENSMUSG00000096756,ENSMFAG00000037490
ENSMUSG00000096756,ENSMFAG00000037280
ENSMUSG00000096756,ENSMFAG00000003419
ENSMUSG00000096756,ENSMFAG00000039073
ENSMUSG00000096756,ENSMFAG00000031578
ENSMUSG00000096756,ENSMFAG00000064937
ENSMUSG00000096756,ENSMFAG00000042798
ENSMUSG00000096756,ENSMFAG00000032967
