human_gene,marmoset_gene
ENSG00000278457,ENSCJAG00000078440
ENSG00000271254,ENSCJAG00000076513
ENSG00000271254,ENSCJAG00000081970
ENSG00000278625,ENSCJAG00000082761
ENSG00000278294,ENSCJAG00000024848
ENSG00000274917,ENSCJAG00000085614
ENSG00000274917,ENSCJAG00000075589
ENSG00000274917,ENSCJAG00000077452
ENSG00000273730,ENSCJAG00000085614
ENSG00000273730,ENSCJAG00000075589
ENSG00000273730,ENSCJAG00000077452
ENSG00000277196,ENSCJAG00000010707
ENSG00000277630,ENSCJAG00000033335
ENSG00000278817,ENSCJAG00000073059
ENSG00000278817,ENSCJAG00000082971
ENSG00000276017,ENSCJAG00000072438
ENSG00000276017,ENSCJAG00000052202
ENSG00000276017,ENSCJAG00000069982
ENSG00000276017,ENSCJAG00000079653
ENSG00000277428,ENSCJAG00000076292
ENSG00000277428,ENSCJAG00000071864
ENSG00000275987,ENSCJAG00000079188
ENSG00000275987,ENSCJAG00000037412
ENSG00000275405,ENSCJAG00000075205
ENSG00000275063,ENSCJAG00000081319
ENSG00000275063,ENSCJAG00000079757
ENSG00000275063,ENSCJAG00000080370
ENSG00000274847,ENSCJAG00000018908
ENSG00000276711,ENSCJAG00000062459
ENSG00000276345,ENSCJAG00000056349
ENSG00000276700,ENSCJAG00000085614
ENSG00000276700,ENSCJAG00000075589
ENSG00000276700,ENSCJAG00000077452
ENSG00000275757,ENSCJAG00000085614
ENSG00000275757,ENSCJAG00000075589
ENSG00000275757,ENSCJAG00000077452
ENSG00000273554,ENSCJAG00000011356
ENSG00000277374,ENSCJAG00000029067
ENSG00000273748,ENSCJAG00000011272
ENSG00000276932,ENSCJAG00000076292
ENSG00000276932,ENSCJAG00000071864
ENSG00000278633,ENSCJAG00000072438
ENSG00000278633,ENSCJAG00000052202
ENSG00000278633,ENSCJAG00000069982
ENSG00000278633,ENSCJAG00000079653
ENSG00000274202,ENSCJAG00000062459
ENSG00000252900,ENSCJAG00000028390
ENSG00000252689,ENSCJAG00000025638
ENSG00000243980,ENSCJAG00000044603
ENSG00000252173,ENSCJAG00000082095
ENSG00000252323,ENSCJAG00000082095
ENSG00000251996,ENSCJAG00000038911
ENSG00000252472,ENSCJAG00000078426
ENSG00000184895,ENSCJAG00000077540
