source_id,human_id,type
ENSCJAG00000003187,ENSG00000184564,ortholog_one2one
ENSCJAG00000006773,ENSG00000126226,ortholog_one2one
ENSCJAG00000003189,ENSG00000165300,ortholog_one2one
ENSCJAG00000016415,ENSG00000280165,ortholog_one2one
ENSCJAG00000062210,ENSG00000180447,ortholog_one2one
ENSCJAG00000008347,ENSG00000123191,ortholog_one2one
ENSCJAG00000030780,ENSG00000284204,ortholog_one2one
ENSCJAG00000006831,ENSG00000139842,ortholog_one2one
ENSCJAG00000005536,ENSG00000127081,ortholog_one2one
ENSCJAG00000001131,ENSG00000156017,ortholog_one2one
ENSCJAG00000003211,ENSG00000179399,ortholog_one2one
ENSCJAG00000006900,ENSG00000185896,ortholog_one2one
ENSCJAG00000010996,ENSG00000080298,ortholog_one2one
ENSCJAG00000008048,ENSG00000147883,ortholog_one2one
ENSCJAG00000008059,ENSG00000176399,ortholog_one2one
ENSCJAG00000011484,ENSG00000241697,ortholog_one2one
ENSCJAG00000006915,ENSG00000139835,ortholog_one2one
ENSCJAG00000003215,ENSG00000183098,ortholog_one2one
ENSCJAG00000008074,ENSG00000107262,ortholog_one2one
ENSCJAG00000075654,ENSG00000153531,ortholog_one2one
ENSCJAG00000076685,ENSG00000158122,ortholog_one2one
ENSCJAG00000003225,ENSG00000080166,ortholog_one2one
ENSCJAG00000011496,ENSG00000170681,ortholog_one2one
ENSCJAG00000001156,ENSG00000119121,ortholog_one2one
ENSCJAG00000008104,ENSG00000086065,ortholog_one2one
ENSCJAG00000061833,ENSG00000196459,ortholog_one2one
ENSCJAG00000038309,ENSG00000150401,ortholog_one2one
ENSCJAG00000019853,ENSG00000164253,ortholog_one2one
ENSCJAG00000016264,ENSG00000148123,ortholog_one2one
ENSCJAG00000003252,ENSG00000088451,ortholog_one2one
ENSCJAG00000011083,ENSG00000107249,ortholog_one2one
ENSCJAG00000008064,ENSG00000107105,ortholog_one2one
ENSCJAG00000006931,ENSG00000150403,ortholog_one2one
ENSCJAG00000043138,ENSG00000152749,ortholog_one2one
ENSCJAG00000008142,ENSG00000086102,ortholog_one2one
ENSCJAG00000016292,ENSG00000136881,ortholog_one2one
ENSCJAG00000011113,ENSG00000106688,ortholog_one2one
ENSCJAG00000003853,ENSG00000083544,ortholog_one2one
ENSCJAG00000054074,ENSG00000281106,ortholog_one2one
ENSCJAG00000010197,ENSG00000130635,ortholog_one2one
ENSCJAG00000044399,ENSG00000198355,ortholog_one2one
ENSCJAG00000083876,ENSG00000136897,ortholog_one2one
ENSCJAG00000080921,ENSG00000205442,ortholog_one2one
ENSCJAG00000042036,ENSG00000128563,ortholog_one2one
ENSCJAG00000011136,ENSG00000106686,ortholog_one2one
ENSCJAG00000020348,ENSG00000136878,ortholog_one2one
ENSCJAG00000046080,ENSG00000125285,ortholog_one2one
ENSCJAG00000016305,ENSG00000136870,ortholog_one2one
ENSCJAG00000063898,ENSG00000205808,ortholog_one2one
ENSCJAG00000016164,ENSG00000160999,ortholog_one2one
ENSCJAG00000043194,ENSG00000198680,ortholog_one2one
ENSCJAG00000001216,ENSG00000198963,ortholog_one2one
ENSCJAG00000019926,ENSG00000138769,ortholog_one2one
ENSCJAG00000010200,ENSG00000118985,ortholog_one2one
ENSCJAG00000015809,ENSG00000161179,ortholog_one2one
ENSCJAG00000003174,ENSG00000109381,ortholog_one2one
ENSCJAG00000010839,ENSG00000154122,ortholog_one2one
ENSCJAG00000008718,ENSG00000100099,ortholog_one2one
ENSCJAG00000011062,ENSG00000153395,ortholog_one2one
ENSCJAG00000041714,ENSG00000066583,ortholog_one2one
ENSCJAG00000049478,ENSG00000139668,ortholog_one2one
ENSCJAG00000011188,ENSG00000147853,ortholog_one2one
ENSCJAG00000077811,ENSG00000198176,ortholog_one2one
ENSCJAG00000014591,ENSG00000184058,ortholog_one2one
ENSCJAG00000015805,ENSG00000161180,ortholog_one2one
ENSCJAG00000019939,ENSG00000174792,ortholog_one2one
ENSCJAG00000012589,ENSG00000130956,ortholog_one2one
ENSCJAG00000018871,ENSG00000082213,ortholog_one2one
ENSCJAG00000020360,ENSG00000187239,ortholog_one2one
ENSCJAG00000007987,ENSG00000120159,ortholog_one2one
ENSCJAG00000016312,ENSG00000136872,ortholog_one2one
ENSCJAG00000015792,ENSG00000128228,ortholog_one2one
ENSCJAG00000010884,ENSG00000154124,ortholog_one2one
ENSCJAG00000043822,ENSG00000164588,ortholog_one2one
ENSCJAG00000010252,ENSG00000164292,ortholog_one2one
ENSCJAG00000006057,ENSG00000164342,ortholog_one2one
ENSCJAG00000019300,ENSG00000113396,ortholog_one2one
ENSCJAG00000008709,ENSG00000100104,ortholog_one2one
ENSCJAG00000015559,ENSG00000086200,ortholog_one2one
ENSCJAG00000020153,ENSG00000136848,ortholog_one2one
ENSCJAG00000019876,ENSG00000113231,ortholog_one2one
ENSCJAG00000011155,ENSG00000106993,ortholog_one2one
ENSCJAG00000003399,ENSG00000073146,ortholog_one2one
ENSCJAG00000048002,ENSG00000165272,ortholog_one2one
ENSCJAG00000019942,ENSG00000174796,ortholog_one2one
ENSCJAG00000007921,ENSG00000137055,ortholog_one2one
ENSCJAG00000040778,ENSG00000165244,ortholog_one2one
ENSCJAG00000008628,ENSG00000100109,ortholog_one2one
ENSCJAG00000038194,ENSG00000130558,ortholog_one2one
ENSCJAG00000021276,ENSG00000176049,ortholog_one2one
ENSCJAG00000003158,ENSG00000151014,ortholog_one2one
ENSCJAG00000081352,ENSG00000134970,ortholog_one2one
ENSCJAG00000011089,ENSG00000142319,ortholog_one2one
ENSCJAG00000037354,ENSG00000185838,ortholog_one2one
ENSCJAG00000010893,ENSG00000145569,ortholog_one2one
ENSCJAG00000006956,ENSG00000186009,ortholog_one2one
ENSCJAG00000047220,ENSG00000173221,ortholog_one2one
ENSCJAG00000002120,ENSG00000164512,ortholog_one2one
ENSCJAG00000045923,ENSG00000243414,ortholog_one2one
ENSCJAG00000008612,ENSG00000128294,ortholog_one2one
ENSCJAG00000005476,ENSG00000038002,ortholog_one2one
ENSCJAG00000018862,ENSG00000055163,ortholog_one2one
ENSCJAG00000006957,ENSG00000185974,ortholog_one2one
ENSCJAG00000019952,ENSG00000163743,ortholog_one2one
ENSCJAG00000008453,ENSG00000102786,ortholog_one2one
ENSCJAG00000080942,ENSG00000160345,ortholog_one2one
ENSCJAG00000010268,ENSG00000145757,ortholog_one2one
ENSCJAG00000060349,ENSG00000145780,ortholog_one2one
ENSCJAG00000015771,ENSG00000100023,ortholog_one2one
ENSCJAG00000011202,ENSG00000120158,ortholog_one2one
ENSCJAG00000010436,ENSG00000122140,ortholog_one2one
ENSCJAG00000008583,ENSG00000100122,ortholog_one2one
ENSCJAG00000045411,ENSG00000160349,ortholog_one2one
ENSCJAG00000047244,ENSG00000175449,ortholog_one2one
ENSCJAG00000018308,ENSG00000096872,ortholog_one2one
